family,categories,origin,climate,name,water_category,venomous,size,ind_apartment,soil,sunlight,water_category_code,size_code,soil_code,sunlight_code
Arecaceae,Palm,Mexico,Tropical,Miniature fishtail,weekly,0,small,1,Sandy soils,Full sun,2,2,2,0
Pteridaceae,Fern,Asia,Tropical humid,Silver Lace Fern,weekly,0,small,1,Peat soils,Partial shade,2,2,1,2
Araceae,Anthurium,Ecuador,Tropical,Bronze Anthurium,weekly,1,small,1,Silty and clay soils,Partial shade,2,2,3,2
Crasssulaceae,Cactus & Succulent,South Africa,Subtropical arid,Jade Plant,2-4 weeks,0,small,1,,,0,2,4,4
Amaryllidaceae,Cactus & Succulent,Mexico,Arid Tropical,Dragon-tree Agave,2-4 weeks,1,big,0,Loamy soils,Full sun or partial shade,0,0,0,1
Bromeliaceae,Bromeliad,Ecuador,Tropical humid,Pink quill,weekly,0,small,1,Sandy soils,Partial shade or full sun,2,2,2,3
Araceae,Philodendron,Central America,Tropical,Splitleaf Philodendron,weekly,1,medium,1,Silty and clay soils,Partial shade,2,1,3,2
Bromeliaceae,Bromeliad,Brazil,Tropical humid,Silver vase,weekly,0,medium,1,Sandy soils,Partial shade or full sun,2,1,2,3
Podocarpaceae,Foliage plant,Central Africa,Subtropical,African fern pine,7-10 days,0,big,0,Silty and clay soils,Partial shade or full sun,1,0,3,3
Araceae,Foliage plant,Colombia,Tropical,Indian kale,weekly,1,big,0,Silty and clay soils,Partial shade,2,0,3,2
Cactaceae,Cactus & Succulent,Central Mexico,Arid Tropical,Golden Barrel,2-4 weeks,0,big,0,Sandy soils,Full sun,0,0,2,0
Arecaceae,Palm,Brazil,Tropical humid,Parrot palm,weekly,0,big,0,Sandy soils,Full sun,2,0,2,0
Marantaceae,Foliage plant,Brazil,Tropical,Stromante,weekly,0,medium,1,Peat soils,Partial shade,2,1,1,2
Dryopteridaceae,Fern,Asia,Subtropical,Holly-fern,7-10 days,0,medium,1,,,1,1,4,4
Marantaceae,Foliage plant,Brazil,Tropical,Phrynium,weekly,0,medium,1,Peat soils,Partial shade,2,1,1,2
Cactaceae,Cactus & Succulent,Brazil,Arid Tropical,Tree-Cereus,2-4 weeks,0,big,0,Sandy soils,Full sun,0,0,2,0
Marantaceae,Hanging,Brazil,Tropical,Green prayer plant,weekly,0,small,1,Peat soils,Partial shade,2,2,1,2
Liliaceae,Hanging,Central Africa,Tropical to subtropical,Spider plant,7-10 days,1,small,1,Loamy soils,Full sun,1,2,0,0
Cactaceae,Cactus & Succulent,Brazil,Arid Tropical,Monster cactus,2-4 weeks,0,big,0,Sandy soils,Full sun,0,0,2,0
Bromeliaceae,Bromeliad,Brazil,Subtropical,Coral berry,7-10 days,0,medium,1,Sandy soils,Partial shade or full sun,1,1,2,3
Apocynaceae,Flower,Brazil,Tropical,Golden Trumpet,weekly,1,big,0,Sandy soils,Full sun,2,0,2,0
Aspleniaceae,Fern,Asia,Tropical humid,Birdnest fern,weekly,0,medium,1,Peat soils,Partial shade,2,1,1,2
Marantaceae,Foliage plant,Brazil,Tropical,Velvet Calathea,weekly,0,small,1,Peat soils,Partial shade,2,2,1,2
Amaryllidaceae,Cactus & Succulent,Mexico,Arid Tropical,Lilliput Agave,2-4 weeks,1,small,1,Loamy soils,Full sun or partial shade,0,2,0,1
Amaryllidaceae,Cactus & Succulent,Mexico,Arid Tropical,Thread Agave,2-4 weeks,1,small,1,Loamy soils,Full sun or partial shade,0,2,0,1
Amaryllidaceae,Cactus & Succulent,Mexico,Arid Tropical,Blue Agave,2-4 weeks,1,big,0,Loamy soils,Full sun or partial shade,0,0,0,1
